change,address,typeofobj,location,price,date
0.4,Fredriksdalsgatan 8A,Lägenhet, Johanneberg,2500000,2022-02-18
25.7,Illerstigen 14,Lägenhet, Bergshamra,6530000,2022-02-18
-1.6,Meteorgatan 18,Villa, Ödåkra,5700000,2022-02-18
128.6,Sturevägen 6A,Lägenhet, Fagersta,80000,2022-02-18
15.4,Eneliden 3,Villa, Sävedalen,6750000,2022-02-18
4.9,Fågelsången 4,Lägenhet, Centrum,4400000,2022-02-18
-0,Åbroddsvägen 32,Parhus, Kummelnäs,7000000,2022-02-18
-0,Björsäter Karlsnäs 1,Villa, Björsäter,1995000,2022-02-18
-6.3,Guldringen 16,Lägenhet, Guldringen,2150000,2022-02-18
12.7,Riksbyvägen 10,Lägenhet, Riksby,2920000,2022-02-18
-7.8,Enbärsstigen 9,Villa, Prästslätten,2950000,2022-02-18
11,Sibeliusgången 32,Lägenhet, Kista,1660000,2022-02-18
69.5,Hedvägen 5,Villa, Bångbro,500000,2022-02-18
10.5,Höganäsgatan 2C,Lägenhet, Höganäs,3530000,2022-02-18
1.5,Åbrinksvägen 29,Lägenhet, Sankt Lars,3750000,2022-02-18
5,Flädervägen 3,Lägenhet, Vilan,1045000,2022-02-18
9.5,Norbergsgatan 5B,Lägenhet, Centrum,3500000,2022-02-18
11,Kågevägen 40C,Lägenhet, Alhem,1660000,2022-02-18
20.2,Björnvägen 33B,Radhus, Skogås,4200000,2022-02-18
5.5,Sägengatan 38,Lägenhet, Hisings Backa,2000000,2022-02-18
1.5,Gurkanvägen 1,Villa, Centralt,3750000,2022-02-18
-8.1,Almbygatan 10,Lägenhet, Spånga - Rinkeby,1650000,2022-02-18
0.2,Stenmansgatan 13B,Lägenhet, Rinmansparken,2500000,2022-02-18
7.6,Döbelnsgatan 52,Lägenhet, Vasastan,5700000,2022-02-18
1.1,Hornsgatan 12C,Lägenhet, Frösön,1340000,2022-02-18
-9.9,Stora Strandgatan 21,Villa, Centrum,4500000,2022-02-18
-4.5,Yrkesvägen 15,Lägenhet, Hedemora,950000,2022-02-18
4.7,Strömstadsvägen 12B,Lägenhet, Bohuslän,1670000,2022-02-18
—,Kaprifolgatan 26,Radhus, Hagalund,3400000,2022-02-18
1.2,Kyrkogatan 8D,Lägenhet, Centrum,167000,2022-02-18
7,Aspgatan 67,Kedjehus, Fylsta,2140000,2022-02-18
2.6,Klasrovägen 27B,Villa, Häggvik,7900000,2022-02-18
-1.3,Gustav III:s Boulevard 45,Lägenhet, Frösunda,7400000,2022-02-18
0.5,Herrgårdsvägen 1E,Lägenhet, Hästö,1860000,2022-02-18
62.2,Mattila 27,Fritidshus, Östmark,2100000,2022-02-18
-8.2,Valhallavägen 67D,Lägenhet, Centrum,390000,2022-02-18
-1.5,Linneagatan 17,Villa, Hällbacken,6200000,2022-02-18
25.2,Pålsabacken 19,Villa, Hjälm,5000000,2022-02-18
10.2,Rangstagatan 18,Lägenhet, Högdalen,3850000,2022-02-18
13.3,Örabergsvägen 13,Villa, Öraberget,510000,2022-02-18
9.7,Grangärdesvägen 15A,Lägenhet, Surte,1750000,2022-02-18
39.8,Hovstagränd 13,Lägenhet, Hagsätra,3460000,2022-02-18
-4.6,Dragörkajen 19,Lägenhet, Limhamn,8100000,2022-02-18
8.3,Billingsdalsvägen 10,Villa, Skulltorp,4100000,2022-02-18
25.7,Västerbogatan 12,Radhus, Fredentorp,2760000,2022-02-18
-2.5,Kaserngården 10,Lägenhet, Rynningeåsen,1750000,2022-02-18
-0.7,Björnrike Björksoppstigen 6A,Lägenhet, Vemdalen,3350000,2022-02-18
-6.4,Bonstorpsvägen 14,Lägenhet, Södra Lindhult,1100000,2022-02-18
-0,Borgarfjordsgatan 21A,Lägenhet, Kista,2995000,2022-02-18
8.8,Katrinebergsvägen 84B,Lägenhet, Tullinge Trädgårdsstad,3040000,2022-02-18
27.7,Annelundsvägen 56,Villa, Annelund,760000,2022-02-18
20,Lugna vägen 1,Villa, Gustafs,2100000,2022-02-18
—,Barkarbyvägen 38,Lägenhet, Barkarbystaden,4325000,2022-02-18
9.8,Kastanjevägen 11,Villa, Jonslund,1400000,2022-02-18
29,Vasagatan 14B,Lägenhet, Dagny,1800000,2022-02-18
8.2,Visättra Backe 2D,Lägenhet, Visättra,2050000,2022-02-18
28.1,Sälgvägen 4,Villa, Centrala,2300000,2022-02-18
7.7,Berguvsgatan 24A,Kedjehus, Söderkulla,3550000,2022-02-18
13.8,Stenrösvägen 7,Lägenhet, Stenhagen,1650000,2022-02-18
-1,Korsåsliden 10,Radhus, Ängås,4800000,2022-02-18
9.4,Nipfjällsvägen 8,Lägenhet, Bromma Traneberg,6560000,2022-02-18
14.3,Lilla Västergatan 6,Villa, Centrala,2000000,2022-02-18
28.6,Västra Ringvägen 96,Lägenhet, Härnösand,450000,2022-02-18
-0.2,Knipvägen 95,Kedjehus, Margretelund,4490000,2022-02-18
-0,Toleredsgatan 19,Lägenhet, Slättadamm- C  Hisingen,1850000,2022-02-18
10.8,Aspnäsvägen 34,Lägenhet, Vattmyra,1545000,2022-02-18
2,Släpharvsgatan 5E,Lägenhet, Bifrost,2500000,2022-02-18
30.2,Färnebogatan 62,Lägenhet, Farsta Centrum,3900000,2022-02-18
31.9,Präststigen Hallsmossen 2,Villa, Sparreholm,2500000,2022-02-18
0.1,Garvis Carlssons gata 28,Lägenhet, Nya Råsunda,6500000,2022-02-18
6.7,Västerbyvägen 22,Villa, Ransta,2550000,2022-02-18
-3.8,Rosendalsvägen 1,Villa, Rolfstorp,2400000,2022-02-18
-7.9,Högbyvägen 140,Villa, Viksjö,4790000,2022-02-18
3.5,Vretalundsvägen 15,Villa, Tungelsta,6720000,2022-02-18
-19,Villavägen 3,Villa, Hedenäset,320000,2022-02-18
10.6,Mineralvägen 8,Tomt/Mark, Österbybruk,470000,2022-02-18
-6.4,Tegelbruksvägen 7F,Lägenhet, Ekerö Centrum,2800000,2022-02-18
-0,Poppelvägen 15,Tomt/Mark, Område,1095000,2022-02-18
13.4,Ellenborgsvägen 110J,Lägenhet, Husie,2375000,2022-02-18
4.2,Dalrundan 25,Villa, Edsbyn,1350000,2022-02-18
-2.4,Apoteksgatan 8B,Lägenhet, Bollnäs,830000,2022-02-18
4,Lastbergsvägen 12,Villa, Bålsta Lastberget,4550000,2022-02-18
-14.9,Storgatan 39,Villa, Anderstorp,1000000,2022-02-18
-3.2,Tumba Torg 106,Lägenhet, Tumba,1500000,2022-02-18
8.2,Borgholmsvägen 9,Lägenhet, Granloholm,860000,2022-02-18
-0,Gallerud Juvlingen,Gård, Årjäng,2000000,2022-02-18
10.7,Söderleden 15E,Radhus, Ånestad,3870000,2022-02-18
-6.9,Lundenvägen 39A,Lägenhet, Lunden,605000,2022-02-18
1.7,Brunnsvägen 39,Radhus, Johannisdal,2390000,2022-02-18
-2.9,Aristarchos väg 25,Tomt/Mark, Idre Himmelfjäll,1700000,2022-02-18
1.8,Tunavägen 19,Radhus, Bro,3050000,2022-02-18
12.9,Skjutbanegatan 13A,Lägenhet, Haga,1750000,2022-02-18
26.7,Salamisvägen 5,Villa, Härninge,3610000,2022-02-18
—,Bogränd 15,Villa, Berg,3300000,2022-02-18
6.1,Båtsmansgränd 65,Villa, Bunkeflostrand,7000000,2022-02-18
12.3,Östergården 80,Radhus, Östergården,4150000,2022-02-18
2.4,Råbyvägen 55H,Lägenhet, Gränby,1735000,2022-02-18
28.6,Hundlokegränd 30,Lägenhet, Hässelby Lövsta Allé,2250000,2022-02-18
-0,Stockholmsvägen 29,Villa, Örkelljunga,2050000,2022-02-18
0.1,Fontinvägen 23,Villa, Centrum,5900000,2022-02-18
8.5,Bjurfors 24,Villa, Vindeln,705000,2022-02-18
-0,Tomtviksnäset 3,Fritidshus, Vettershaga,16000000,2022-02-18
3.6,Gökblomstervägen 21,Villa, Hofterup,5700000,2022-02-18
-0,Hägerneholmsvägen 7B,Lägenhet," Hägerneholm, Arninge-Ullna",1250000,2022-02-18
22.6,Gustavsbergsvägen 13,Villa, Ullervad,2390000,2022-02-18
—,Kungstensgatan 29,Lägenhet, Vasastan,8750000,2022-02-18
18.5,Odengatan 16A,Lägenhet, Östermalm / Vasastan,6510000,2022-02-18
5.3,Bondegatan 4,Villa, Kungsör,2100000,2022-02-18
10.4,Kuskgränd 8,Lägenhet, Hässelby,2180000,2022-02-18
47.8,Mariebergsvägen 45,Villa, Marieberg,4575000,2022-02-18
-1.7,Kockhedsvägen 14,Villa, Rödbo,5850000,2022-02-18
-11.1,Sveagatan 75,Villa, Söder,2000000,2022-02-18
-9.9,Fasternavägen 197,Villa, Rånäs,4500000,2022-02-18
39.1,Sandfjärdsgatan 12,Lägenhet, Årsta,5250000,2022-02-18
7.5,Bagarevägen 4A,Lägenhet, Stenkullen,1800000,2022-02-18
7.3,Gjutmästare Rosbergs väg 11A,Lägenhet, Bolinder Strand,3000000,2022-02-18
10.3,Kostorpsvägen 15,Villa, Färgelanda,2090000,2022-02-18
13.5,Låcktorp 303,Villa, Nygård,4710000,2022-02-18
5.7,Rutger Fuchsgatan 9,Lägenhet, Södermalm,4200000,2022-02-18
—,Folkparken 2,Lägenhet, Centrala Handen,2400000,2022-02-18
-2.9,Holbergsgatan 44,Lägenhet, Bromma Blackeberg,1650000,2022-02-18
8.6,Floravägen 9,Villa, Ånge,950000,2022-02-18
-8.3,Dahlgrensvägen 8B,Lägenhet, Karlberg,165000,2022-02-18
12,Ymervägen 31,Radhus, Blombacka,4700000,2022-02-18
3.2,Tallåsvägen 19B,Lägenhet, Bromsten,1750000,2022-02-18
12.8,Kårnäsvägen 13,Villa, Ljusterö,2250000,2022-02-18
24.2,Lövängsvägen 4,Villa, Kolarängen,9930000,2022-02-18
1.6,Cirkelgatan 49,Villa, Teg,4320000,2022-02-18
28.5,Eriksbergsgatan 26,Villa, Genevad,1780000,2022-02-18
-10.5,Edsgatan 49,Lägenhet, Nordstan,850000,2022-02-18
1.7,Önskevädersgatan 17,Lägenhet, Biskopsgården,1170000,2022-02-18
0.3,Tallbacksvägen 60B,Villa, Norby,9000000,2022-02-18
5.8,Hjortstigen 16,Villa, Gustavslund,7400000,2022-02-18
-2.7,Månplan 5,Villa, Mellanheden,14500000,2022-02-18
46.9,Kung Oscars väg 10,Villa, Storvik,2570000,2022-02-18
43.6,Vedemö 141,Villa, Motala,1860000,2022-02-18
-3.2,Rektorsvägen 5,Villa, Ulricehamn,4350000,2022-02-18
31,Bankgatan 9,Villa, Åled,3530000,2022-02-18
5,Floravägen 21,Lägenhet, Centralt,1570000,2022-02-18
11,Köpmansvägen 4,Radhus, Snättringe,6100000,2022-02-18
4.8,Kvarnvägen 3B,Lägenhet, Väst På Stan,2300000,2022-02-18
-0,Skottvägen 13,Villa, Bråten,1195000,2022-02-18
-0,Bruksvägen 1B,Lägenhet, Fagersta,195000,2022-02-18
21.1,Norrsundagränd 12,Kedjehus, Brunnby Vik,5200000,2022-02-18
7.2,Karl-Johansgatan 11,Villa, Gislaved,2010000,2022-02-18
1.7,Bergvägen 14,Villa, Sexdrega,1500000,2022-02-18
6.2,Rågetsvägen 4,Radhus, Södra Gryta,3500000,2022-02-18
-1.5,Fällhagsvägen 20A,Villa, Boxholm,1275000,2022-02-18
5.8,Göteborgsvägen 141,Villa, Södra Surte,4120000,2022-02-18
-0,Michael Löfmans gata 9A,Lägenhet, Tågaborg,2995000,2022-02-18
-0,Dalgatan 21,Villa, Duvedal,2995000,2022-02-18
5.5,Sleipnergatan 23,Radhus, Hässelby Gård,3900000,2022-02-18
4.4,Lerstensvägen 24,Kedjehus, Lundby,3550000,2022-02-18
11,Silverdalsvägen 88,Kedjehus, Silverdal,11650000,2022-02-18
1.3,Skäpplandsgatan 15,Lägenhet, Högsbo,1900000,2022-02-18
10.3,Notstigen 27,Villa, Kungshög,1870000,2022-02-18
3,Rabattvägen 40,Lägenhet, Vällingby,2780000,2022-02-18
3,Granvägen 1,Lägenhet, Brunnsberg,1700000,2022-02-18
4.3,Termikgatan 23E,Lägenhet, Ladugårdsängen,2450000,2022-02-18
-0,Pär Lagerkvists väg 12A,Lägenhet, Norr,1770000,2022-02-18
-5.3,Lillhagavägen 1,Villa, Nykvarn,5350000,2022-02-18
17.6,Björkvallavägen 24,Villa, Centrum,7640000,2022-02-18
52.9,Dalahusvägen 1,Villa, Lönhult,2600000,2022-02-18
-0,Skolvägen 23,Villa, Madesjö,1195000,2022-02-18
12.2,Muraregatan 4,Villa, Åstorp,2800000,2022-02-18
-3.8,Malmgatan 9,Lägenhet, Centrum,380000,2022-02-18
0.1,Storgatan 12,Lägenhet, Centrum,3800000,2022-02-18
8.6,Björkered 71,Villa, Björkered,2010000,2022-02-18
12.2,Snögatan 17A,Radhus, Andersberg,2750000,2022-02-18
2.9,Stenrösvägen 45,Lägenhet, Stenhagen,1800000,2022-02-18
-0,Bruksgatan 36B,Villa, Skönsberg,3275000,2022-02-18
-3.8,Rådhusgatan 80B,Lägenhet, Östersund,760000,2022-02-18
10.2,Gunnarsberg 8,Lägenhet, Komarken,2750000,2022-02-18
-0,Regementsvägen 2,Lägenhet, Centrum,2195000,2022-02-18
2.5,Dalgatan 9,Villa, Hagaby,4050000,2022-02-18
10.4,Elsa Brändströms gata 67,Kedjehus, Fruängen,6900000,2022-02-18
13.9,Lundbobergsvägen 46,Kedjehus, Tortuna,2500000,2022-02-18
-3.1,Karlsgatan 54,Villa, Centralt,6000000,2022-02-18
14.5,Rundkyrkoallén 20B,Villa, Bromma,15750000,2022-02-18
-6,Brogatan 3D,Lägenhet, Centrum,1970000,2022-02-18
27.5,Kristinebergsgatan 8A,Radhus, Kristineberg,1135000,2022-02-18
-0,Sandatorpsstigen 8,Villa, Kvicksund,4095000,2022-02-18
-4,Wadströmsgatan 12,Lägenhet, Söder,1200000,2022-02-18
—,Rålambsvägen 48,Lägenhet, Fredhäll,3700000,2022-02-18
-0,Götgatan 20C,Lägenhet, Luthagen,2050000,2022-02-18
21.2,Barbro Alvings gata 23,Lägenhet, Fruängen-Hägersten,3265000,2022-02-18
11.6,Verandastigen 3,Lägenhet, Söderby Park,3900000,2022-02-18
0.7,Skomakarvägen 6D,Radhus, Lundby,2265000,2022-02-18
-2.7,Irisvägen 9,Villa, Hammerö,7300000,2022-02-18
-3.4,Drottninggatan 71,Lägenhet, Norr,8600000,2022-02-18
10.3,Kyrkgatan 3,Villa, Frödinge,3750000,2022-02-18
28.9,Bergslagsvägen 63C,Radhus, Älvnäs,2450000,2022-02-18
0.5,Johan Skyttes väg 392,Lägenhet, Älvsjö,4620000,2022-02-18
20.4,Midsommarvägen 14,Kedjehus, Vagnhärad,3310000,2022-02-18
1.8,Målerud Björkebo 133,Gård, Målerud,2800000,2022-02-18
6.7,Osebol 60,Villa, Stöllet,800000,2022-02-18
15.1,Birkagatan 34A,Lägenhet, Österängen,1605000,2022-02-18
-0,Eriksgränd 9,Lägenhet, Jakobsberg,2895000,2022-02-18
16.1,Björcksgatan 36B,Lägenhet, Kålltorp,3680000,2022-02-18
-10.3,Vrigstadvägen 16,Villa, Centralt,650000,2022-02-18
—,Ernst Torulfsgatan 6A,Lägenhet, Munkebäck,2300000,2022-02-18
-0,Fyrisvallsgatan 10A,Lägenhet, Librobäck,1725000,2022-02-18
18.6,Krankelösa 347,Villa, Krankelösa,4625000,2022-02-18
6.2,Symfonigatan 5A,Lägenhet, Hestra,2650000,2022-02-18
-0,Flöjelgatan 9,Radhus, Västra Hamnen,12000000,2022-02-18
9.7,Östra Ryttmästaregatan 3,Lägenhet, Slottsstaden,4600000,2022-02-18
22.8,Västra Löa 377,Villa, Lindesberg,3800000,2022-02-18
20.1,Aldergatan 18,Villa, Älvsbacka,5400000,2022-02-18
-0,Parkgatan 12A,Lägenhet, Vårgårda,2045000,2022-02-18
-0,Parkgatan 12B,Lägenhet, Vårgårda,1585000,2022-02-18
5.4,Galärgatan 1,Villa, Centrum,3900000,2022-02-18
-5.6,Väster Edsvik 27,Tomt/Mark, Edsvik,425000,2022-02-18
-5.3,Fagerholmsvägen 42B,Villa, Brunn,7200000,2022-02-18
—,Ivar Samuelssons gata 36,Radhus, Harvestad,4150000,2022-02-18
8.8,Storgatan 9C,Lägenhet, Centrum,3580000,2022-02-18
-0,Öster Bännbäck 138,Villa, Möklinta,1995000,2022-02-18
-3.3,Storebo 31,Gård, Gislaved,5800000,2022-02-18
-1.7,Ängsullsvägen 212,Radhus, Vällingby,5400000,2022-02-18
4.2,Harriet Löwenhjelms väg 4A,Villa, Mellringe,5100000,2022-02-18
-11.2,Birkavägen 2,Villa, Glumslöv,5500000,2022-02-18
-0,Tyge Krabbes väg 7,Villa, Örkelljunga,3125000,2022-02-18
-10.3,Stenhuggaregatan 27,Lägenhet, Räveln,175000,2022-02-18
—,Årevägen 13,Lägenhet, Vällingby Centrum,2700000,2022-02-18
20.8,Bäckmansgatan 26,Villa, Ursviken,3200000,2022-02-18
4.9,Näsbydalsvägen 6,Lägenhet, Näsbydal,3300000,2022-02-18
27.8,Februarigatan 8,Villa, Tibro,1630000,2022-02-18
16.9,Smedvångsgården 8A,Lägenhet, Asmundtorp,2565000,2022-02-18
—,Spireastigen 1D,Radhus, Kristineslätt,3200000,2022-02-18
-25.3,Laxstigen 10,Tomt/Mark, Långvind,280000,2022-02-18
17.8,Hägerstensvägen 120,Lägenhet, Aspudden,10600000,2022-02-18
-2,Drevstagatan 49B,Lägenhet, Drevsta,98000,2022-02-18
—,Nordengatan 5,Lägenhet, Övre Vasastaden,2375000,2022-02-18
20.8,Brandells väg 24,Villa, Prästbordet,7850000,2022-02-18
-2.9,Edwin Berlings gata 20,Radhus, Husensjö,3880000,2022-02-18
-0,Adress saknas,Lägenhet, Sandbyhov,1600000,2022-02-18
-0,Adress saknas,Lägenhet, Sandbyhov,1148000,2022-02-18
-3.4,Lingonvägen 24,Villa, Munkegärde,5650000,2022-02-18
-1.7,Läkeörtsvägen 3,Villa, Flahult,5800000,2022-02-18
8.2,Frans Bloms gata 143,Radhus, Klockaretorpet,2700000,2022-02-18
16.7,Råggatan 8,Lägenhet, Katarina,3210000,2022-02-18
7.9,Skogsbrynet 7B,Lägenhet, Stenungsund - Tätort,2320000,2022-02-18
-0,Parkgatan 12B,Lägenhet, Vårgårda,1645000,2022-02-18
18.3,Mandolinvägen 50,Radhus, Viksjö,5910000,2022-02-18
0.3,Djäknegatan 27B,Lägenhet, Kvarngärdet,1800000,2022-02-18
—,Storsvängen 41,Kedjehus, Ånestad,4750000,2022-02-18
2.7,Fredagstomten 51,Villa, Påvelund,8700000,2022-02-18
5.9,Bergsvägen 1,Villa, Västra Fän,9000000,2022-02-18
4.1,Löpargatan 18A,Lägenhet, Väster,2030000,2022-02-18
10,Köpenhamnsvägen 13A,Lägenhet, Slottsstaden,2585000,2022-02-18
-0,Sjövägen 11,Tomt/Mark, Trehörna,100000,2022-02-18
0.8,Utvik 1000,Fritidshus, Söderhamns Skärgård,4025000,2022-02-18
10.3,Duvedsvägen 11,Lägenhet, Vällingby Centrum,2200000,2022-02-18
24.7,Hallebergsvägen 36,Lägenhet, Traneberg,3680000,2022-02-18
10.5,Lotta Svärds gränd 3,Lägenhet, Hägersten,5525000,2022-02-18
-0,Adress saknas,Parhus, Norrköping,4550000,2022-02-18
—,Trunstavägen 9,Lägenhet, Knivsta,1250000,2022-02-18
2.1,Sporrsmedsgatan 39,Villa, Berga,4950000,2022-02-18
-0,Horsvad 2,Villa, Olsfors,2300000,2022-02-18
9.2,Geijersgatan 12D,Lägenhet, Luthagen,3380000,2022-02-18
5.2,Hammarberg 840,Villa, Kode,3420000,2022-02-18
26.4,Läby-Österby 112,Villa, Börje,5050000,2022-02-18
11.9,Margit Sahlins gata 1,Lägenhet, Kapellgärdet,3350000,2022-02-18
3.3,Seglaregatan 10,Lägenhet, Majorna,2375000,2022-02-18
7.7,Järlastigen 5D,Parhus, Vikdalen,9425000,2022-02-18
-0,Sandfjärdsgatan 29,Lägenhet, Årsta,4400000,2022-02-18
0.4,Sätunavägen 14B,Lägenhet, Centrala Märsta,1400000,2022-02-18
-0,Vänortsringen 52,Lägenhet, Märsta Centrum,1250000,2022-02-18
-0,Orgelgatan 7,Lägenhet, Kapellgärdet,4295000,2022-02-18
3.9,Högmoravägen 17,Villa, Högmora,5400000,2022-02-18
-38.5,Åsen 52,Tomt/Mark, Järvsö,120000,2022-02-18
11.9,Noltorpsgatan 7A,Lägenhet, Noltorp,2350000,2022-02-18
11.6,Dianavägen 25,Radhus, Boo,7250000,2022-02-18
14.7,Tjärehällsvägen 7,Tomt/Mark, Tjärnö,1600000,2022-02-18
-0,Sjövägen 15,Tomt/Mark, Trehörna,100000,2022-02-18
—,Kungsklippan 11,Lägenhet, Kungsholmen,2900000,2022-02-18
-0,Näckrosvägen 38,Lägenhet, Solna Råsunda,5600000,2022-02-18
-0,Trädgårdsgatan 9B,Lägenhet, Söderhamn,525000,2022-02-18
—,Skolgatan 8,Villa, Hylte,750000,2022-02-18
—,Granbo 1884,Gård, Bollnäs,925000,2022-02-18
—,Uttasvägen 27,Villa, Halmstad,5200000,2022-02-18
—,Storgatan 63,Villa, Bjuv,4200000,2022-02-18
—,Björnvägen 2,Tomt/Mark, Kristianstad,1650000,2022-02-18
—,Rävshult 12,Villa, Laholm,1245000,2022-02-18
—,Broddagatan 25,Kedjehus, Limhamn-Bunkeflo,5600000,2022-02-18
—,Källvägen 7,Villa, Söderhamn,300000,2022-02-18
—,Östra Sund 501A,Tomt/Mark, Nora,395000,2022-02-18
—,Östra Sund 507B,Tomt/Mark, Nora,395000,2022-02-18
—,Häggenäs 9:20,Tomt/Mark, Hörby,500000,2022-02-18
—,Hoberg 23:11,Tomt/Mark, Vårgårda,463000,2022-02-18
—,Björhövdavägen 132,Villa, Norrtälje,750000,2022-02-18
—,Granträsk 13,Villa, Älvsbyn,250000,2022-02-18
—,Grönlyckevägen 13,Villa, Varberg,6550000,2022-02-18
—,Gäddeviksås Skatebacken,Villa, Tingsryd,3100000,2022-02-18
—,Röra-Äng 1:189,Tomt/Mark, Orust,825000,2022-02-18
—,Södra Klubbfors 5,Tomt/Mark, Piteå,150000,2022-02-18
—,Parallellvägen 24,Hus, Falkenberg,1200000,2022-02-18
—,Tranvägen 51,Tomt/Mark, Hammarö,2100000,2022-02-18
—,Skeppmoravägen 35A,Villa, Ludvika,295000,2022-02-18
—,Midsommargatan 7,Tomt/Mark, Varberg,1270000,2022-02-18
—,Kjell-Olsvägen 2,Villa, Bräcke,400000,2022-02-18
—,Markims-Örsta 9,Tomt/Mark, Vallentuna,500000,2022-02-18
—,Stockbäcken Solhöjden 7,Tomt/Mark, Nyköping,4050000,2022-02-18
—,Tallhöjdsvägen 6A,Villa, Strömstad,2850000,2022-02-18
—,Kommorp 2:5,Tomt/Mark, Motala,600000,2022-02-18
—,Källarstigen 7,Villa, Vetlanda,1350000,2022-02-18
—,Geminivägen 1,Tomt/Mark, Älvdalen,1400000,2022-02-18
—,Lärkvägen 6,Villa, Södertälje,2800000,2022-02-18
—,Vemdalsskalet Myskoxevägen 4,Tomt/Mark, Härjedalen,4000000,2022-02-18
—,Hemfosavägen 111,Tomt/Mark, Nynäshamn,1800000,2022-02-18
—,Pila-Brittas gata 1B,Kedjehus, Stallhagen,8450000,2022-02-18
—,Infanterigatan 10,Villa, Viksäng,5750000,2022-02-18
—,Bodaström Strömsnäs 1,Hus, Valdemarsvik,1950000,2022-02-18
—,Vagnmakarvägen 12,Kedjehus, Stenungsund,4050000,2022-02-18
—,Bryngelshusgatan 24,Villa, Halmstad,5200000,2022-02-18
—,Södra Kusmark 25,Gård, Skellefteå,1600000,2022-02-18
—,Rågkornsgatan 10,Kedjehus, Mölndal,5700000,2022-02-18
—,Klockarevägen 115,Radhus, Svedala,3000000,2022-02-18
—,Vinthundsgatan 22,Radhus, Järvastaden,8950000,2022-02-18
—,Snarkil Wall 1,Gård, Årjäng,3000000,2022-02-18
—,Södra väghultsvägen 5,Villa, Olofström,1200000,2022-02-18
—,Bigatan 6,Villa, Svalöv,3450000,2022-02-18
—,Ärla-Nytorp 4:15,Tomt/Mark, Eskilstuna,675000,2022-02-18
—,Långön 1:10,Tomt/Mark, Luleå,200000,2022-02-18
—,Sankt Olovsgatan 64,Hus, Köping,28007000,2022-02-18
—,Norrabergsgatan 7,Villa, Ljungby,2525000,2022-02-18
—,Tjädervägen 3,Villa, Forshaga,750000,2022-02-18
—,Snäckvägen 2,Villa, Höganäs,10475000,2022-02-18
—,Viforsen 102,Hus, Sundsvall,575000,2022-02-18
—,Bräckavägen 18,Villa, Kungsbacka,7250000,2022-02-18
—,Hyltaskogsvägen 116,Villa, Skurup,4225000,2022-02-18
—,Fiolen 6,Hus, Alvesta,2600000,2022-02-18
—,Flenmo Lilltomta,Villa, Flen,700000,2022-02-18
—,Rotevägen 41,Radhus, Partille,6625000,2022-02-18
—,Vallby 212,Villa, Kalmar,2920000,2022-02-18
—,Boplatsgatan 11,Villa, Bjurhovda,3950000,2022-02-18
—,Getingarnevägen 2,Gård, Norrtälje,12100000,2022-02-18
—,Möllekärrsvägen 6,Villa, Simrishamn,4150000,2022-02-18
—,Älvans väg 7B,Radhus, Umeå,3970000,2022-02-18
—,Engelbrektsplan 5,Kedjehus, Köping,2795000,2022-02-18
—,Tallholmsvägen 215,Radhus, Hjulsbro,3800000,2022-02-18
—,Fröjerum Gamla Missionshus,Tomt/Mark, Åtvidaberg,40000,2022-02-18
—,Måsvägen 1B,Villa, Täby,16200000,2022-02-18
—,Väsby 26,Villa, Södertälje,3200000,2022-02-18
—,Brodyrvägen 2,Radhus, Vilan,5250000,2022-02-18
—,Åbergsgatan 4,Villa, Halmstad,4500000,2022-02-18
—,Stora Svängen 7B,Villa, Karlskoga,6350000,2022-02-18
—,Håcklagatan 11,Villa, Linköping,3710000,2022-02-18
—,Almvägen 14,Villa, Vetlanda,1320000,2022-02-18
—,Åsakroken 32,Villa, Borås,2450000,2022-02-18
—,Södra Gränsgatan 23,Villa, Osby,606000,2022-02-18
—,Skönningared 342,Villa, Ale,5600000,2022-02-18
—,Rudhögsgatan 16A,Lägenhet, Husie,4550000,2022-02-17
—,Östra Vingåker Boda Kvarn,Villa, Katrineholm,6342500,2022-02-17
—,Tullingebergsvägen 22,Lägenhet, Gamla Tullingeberg,2175000,2022-02-17
6.7,Nebulosavägen 3,Villa, Östra Lugnet,4800000,2022-02-17
-0,Scaniaplatsen 3,Lägenhet, Västra Hamnen,7400000,2022-02-17
—,Evenemangsgatan 30,Lägenhet, Arenastaden,3300000,2022-02-17
—,Skvaltagatan 1,Lägenhet, Upplands Väsby,2950000,2022-02-17
—,Drabantgatan 16,Lägenhet, Östra Valla,2250000,2022-02-17
-0,Tollareslingan 18,Lägenhet, Tollare,7800000,2022-02-17
—,Arvid Tydéns Allé 2,Lägenhet, Solna,3235000,2022-02-17
-0,Stora gatan 84,Lägenhet, Pettersberg,1000000,2022-02-17
-0,Bjursätragatan 6,Lägenhet, Rågsved Högdalen Hagsätra,1710000,2022-02-17
—,Hanna Nilssons väg 8,Lägenhet, Järfälla Bolinder Strand,2550000,2022-02-17
—,Döbelnsgatan 16C,Lägenhet, Vasastan,7000000,2022-02-17
-0,Bergkristallsgatan 32,Lägenhet, Västra Frölunda,1550000,2022-02-17
12.5,Skånegatan 16C,Lägenhet, Eneborg,1350000,2022-02-17
3.9,Långrevsgränd 4,Lägenhet, Strandstaden,5400000,2022-02-17
—,Henriksdalsringen 105,Lägenhet, Henriksdalsberget,4350000,2022-02-17
11,Helsingörsgatan 6,Lägenhet, Kista,2770000,2022-02-17
-0,Kottevägen hus 15,Radhus, Bankeryd,3475000,2022-02-17
